cocktail_id,alcohol_score
1,23
2,23
3,20
4,15
5,11
6,19
7,12
8,20
9,15
10,26
11,20
12,10
13,15
14,12
15,30
16,25
17,20
18,11
19,15
20,20
21,12
22,20
23,20
24,20
25,13
26,15
27,12
28,22
29,20
30,25
31,12
32,20
33,20
34,12
35,20
36,17
37,12
38,20
39,24
40,20
41,20
42,20
43,20
44,20
45,20
46,18
47,20
48,20
49,20
50,20
51,20
52,20
53,20
54,20
55,12
56,20
57,20
58,20
59,20
60,20
61,15
62,20
63,25
64,20
65,30
66,30
67,20
68,20
69,35
70,10
71,32
72,20
73,20
74,20
75,15
76,25
77,25
78,20
79,20
80,20
81,20
82,20
83,15
84,20
85,20
86,18
87,20
88,20
89,10
90,20
91,20
92,12
93,12
94,12
95,20
96,15
97,0
98,0
99,0
100,0
101,0
